producto_original,producto_corregido,producto_key
Fruta Seca,Fruta Seca,FRUTA SECA
Frutas Cubiertas,Frutas Cubiertas,FRUTAS CUBIERTAS
Furosemida,Furosemida,FUROSEMIDA
Fórmula Láctea,Fórmula Láctea,FORMULA LACTEA
Gabapentina,Gabapentina,GABAPENTINA
Galletas Dulces,Galletas Dulces,GALLETAS DULCES
Galletas Populares,Galletas Populares,GALLETAS POPULARES
Galletas Saladas,Galletas Saladas,GALLETAS SALADAS
Galvus Met,Galvus Met,GALVUS MET
Garbanzo,Garbanzo,GARBANZO
Gasa,Gasa,GASA
Gavindo,Gavindo,GAVINDO
Gavindo N,Gavindo N,GAVINDO N
Gel Antibacterial,Gel Antibacterial,GEL ANTIBACTERIAL
Gel Fijador,Gel Fijador,GEL FIJADOR
Gelatina en Polvo,Gelatina en Polvo,GELATINA EN POLVO
Genoprazol,Genoprazol,GENOPRAZOL
Gentamicina,Gentamicina,GENTAMICINA
Glanique,Glanique,GLANIQUE
Glibenclamida,Glibenclamida,GLIBENCLAMIDA
Glimepirida,Glimepirida,GLIMEPIRIDA
Gluc?metro,Glucómetro,GLUCOMETRO
Glucómetro,Glucómetro,GLUCOMETRO
Glyvenol,Glyvenol,GLYVENOL
Goma,Goma,GOMA
Goma Borrador,Goma Borrador,GOMA BORRADOR
Gorra,Gorra,GORRA
Granada,Granada,GRANADA
Granola,Granola,GRANOLA
Granos de Elote,Granos de Elote,GRANOS DE ELOTE
Grapas,Grapas,GRAPAS
Grasa Comestible,Grasa Comestible,GRASA COMESTIBLE
Guan?bana,Guanábana,GUANABANA
Guantes de L?tex,Guantes de Látex,GUANTES DE LATEX
Guantes de Látex,Guantes de Látex,GUANTES DE LATEX
Guanábana,Guanábana,GUANABANA
Guarnici?n de Verduras,Guarnición de Verduras,GUARNICION DE VERDURAS
Guarnición de Verduras,Guarnición de Verduras,GUARNICION DE VERDURAS
Guayaba,Guayaba,GUAYABA
Gurrubata,Gurrubata,GURRUBATA
Haba,Haba,HABA
Halcion,Halcion,HALCION
Harina Hot Cakes,Harina Hot Cakes,HARINA HOT CAKES
Harina de Arroz,Harina de Arroz,HARINA DE ARROZ
Harina de Ma?z,Harina de Maíz,HARINA DE MAIZ
Harina de Maíz,Harina de Maíz,HARINA DE MAIZ
Harina de Trigo,Harina de Trigo,HARINA DE TRIGO
Helado,Helado,HELADO
Her-klin Nf. Shampoo,Her-klin Nf. Shampoo,HER-KLIN NF. SHAMPOO
Hidroxocobalamina Tiamina Piridoxina,Hidroxocobalamina Tiamina Piridoxina,HIDROXOCOBALAMINA TIAMINA PIRIDOXINA
Histiacil Nf,Histiacil Nf,HISTIACIL NF
Hojas de Laurel,Hojas de Laurel,HOJAS DE LAUREL
Hojas de Papel,Hojas de Papel,HOJAS DE PAPEL
Horno Eléctrico,Horno Eléctrico,HORNO ELECTRICO
Horno de Microondas,Horno de Microondas,HORNO DE MICROONDAS
Huachinango,Huachinango,HUACHINANGO
Huevo,Huevo,HUEVO
Humalog Mix 25,Humalog Mix 25,HUMALOG MIX 25
